id,name
1.000000,toy1
2.000000,toy2
3.000000,toy3
4.000000,toy4
5.000000,toy5
6.000000,toy6
7.000000,toy7
8.000000,toy8
9.000000,toy9
10.000000,toy10
11.000000,toy11
12.000000,toy12
13.000000,toy13
14.000000,toy14
15.000000,toy15
16.000000,toy16
17.000000,toy17
18.000000,toy18
19.000000,toy19
20.000000,toy20
21.000000,toy21
22.000000,toy22
23.000000,toy23
24.000000,toy24
25.000000,toy25
26.000000,toy26
27.000000,toy27
28.000000,toy28
29.000000,toy29
30.000000,toy30
31.000000,toy31
32.000000,toy32
33.000000,toy33
34.000000,toy34
35.000000,toy35
36.000000,toy36
37.000000,toy37
38.000000,toy38
39.000000,toy39
40.000000,toy40
41.000000,toy41
42.000000,toy42
43.000000,toy43
44.000000,toy44
45.000000,toy45
46.000000,toy46
47.000000,toy47
48.000000,toy48
49.000000,toy49
50.000000,toy50
51.000000,toy51
52.000000,toy52
53.000000,toy53
54.000000,toy54
55.000000,toy55
56.000000,toy56
57.000000,toy57
58.000000,toy58
59.000000,toy59
60.000000,toy60
61.000000,toy61
62.000000,toy62
63.000000,toy63
64.000000,toy64
65.000000,toy65
66.000000,toy66
67.000000,toy67
68.000000,toy68
69.000000,toy69
70.000000,toy70
71.000000,toy71
72.000000,toy72
73.000000,toy73
74.000000,toy74
75.000000,toy75
76.000000,toy76
77.000000,toy77
78.000000,toy78
79.000000,toy79
80.000000,toy80
81.000000,toy81
82.000000,toy82
83.000000,toy83
84.000000,toy84
85.000000,toy85
86.000000,toy86
87.000000,toy87
88.000000,toy88
89.000000,toy89
90.000000,toy90
91.000000,toy91
92.000000,toy92
93.000000,toy93
94.000000,toy94
95.000000,toy95
96.000000,toy96
97.000000,toy97
98.000000,toy98
99.000000,toy99
100.000000,toy100
101.000000,toy101
102.000000,toy102
103.000000,toy103
104.000000,toy104
105.000000,toy105
106.000000,toy106
107.000000,toy107
108.000000,toy108
109.000000,toy109
110.000000,toy110
111.000000,toy111
112.000000,toy112
113.000000,toy113
114.000000,toy114
